id,name,region,msa_id,msa
4801003,Cypress County,Alberta,805,Medicine Hat
4801006,Medicine Hat,Alberta,805,Medicine Hat
4801018,Redcliff,Alberta,805,Medicine Hat
4802011,Lethbridge County,Alberta,810,Lethbridge
4802012,Lethbridge,Alberta,810,Lethbridge
4802013,Coalhurst,Alberta,810,Lethbridge
4802014,Nobleford,Alberta,810,Lethbridge
4802016,Barons,Alberta,810,Lethbridge
4802018,Picture Butte,Alberta,810,Lethbridge
4802019,Coaldale,Alberta,810,Lethbridge
4802031,Newell County No. 4,Alberta,806,Brooks
4802034,Brooks,Alberta,806,Brooks
4802036,Duchess,Alberta,806,Brooks
4802038,Rosemary,Alberta,806,Brooks
4802039,Bassano,Alberta,806,Brooks
4805018,Strathmore,Alberta,826,Strathmore
4806006,High River,Alberta,821,High River
4806012,Okotoks,Alberta,820,Okotoks
4806014,Rocky View County,Alberta,825,Calgary
4806016,Calgary,Alberta,825,Calgary
4806017,Chestermere,Alberta,825,Calgary
4806019,Cochrane,Alberta,825,Calgary
4806021,Airdrie,Alberta,825,Calgary
4806022,Irricana,Alberta,825,Calgary
4806024,Beiseker,Alberta,825,Calgary
4806026,Crossfield,Alberta,825,Calgary
4806804,Tsuu T'ina Nation 145 (Sarcee 145),Alberta,825,Calgary
4808005,Jarvis Bay,Alberta,831,Sylvan Lake
4808011,Red Deer,Alberta,830,Red Deer
4808012,Sylvan Lake,Alberta,831,Sylvan Lake
4808013,Norglenwold,Alberta,831,Sylvan Lake
4808031,Lacombe,Alberta,832,Lacombe
4810011,Camrose,Alberta,833,Camrose
4810039,Lloydminster (Part),Alberta,840,Lloydminster (Alberta part)
4810066,Bruderheim,Alberta,835,Edmonton
4811002,Wetaskiwin,Alberta,865,Wetaskiwin
4811012,Leduc County,Alberta,835,Edmonton
4811013,Beaumont,Alberta,835,Edmonton
4811016,Leduc,Alberta,835,Edmonton
4811018,Devon,Alberta,835,Edmonton
4811019,Calmar,Alberta,835,Edmonton
4811020,Sundance Beach,Alberta,835,Edmonton
4811021,Thorsby,Alberta,835,Edmonton
4811022,Itaska Beach,Alberta,835,Edmonton
4811023,Golden Days,Alberta,835,Edmonton
4811024,Warburg,Alberta,835,Edmonton
4811034,Parkland County,Alberta,835,Edmonton
4811038,Seba Beach,Alberta,835,Edmonton
4811039,Betula Beach,Alberta,835,Edmonton
4811041,Point Alison,Alberta,835,Edmonton
4811042,Lakeview,Alberta,835,Edmonton
4811044,Kapasiwin,Alberta,835,Edmonton
4811045,Wabamun,Alberta,835,Edmonton
4811046,Spring Lake,Alberta,835,Edmonton
4811048,Stony Plain,Alberta,835,Edmonton
4811049,Spruce Grove,Alberta,835,Edmonton
4811052,Strathcona County,Alberta,835,Edmonton
4811056,Fort Saskatchewan,Alberta,835,Edmonton
4811059,Sturgeon County,Alberta,835,Edmonton
4811061,Edmonton,Alberta,835,Edmonton
4811062,St. Albert,Alberta,835,Edmonton
4811064,Gibbons,Alberta,835,Edmonton
4811065,Redwater,Alberta,835,Edmonton
4811066,Bon Accord,Alberta,835,Edmonton
4811068,Morinville,Alberta,835,Edmonton
4811069,Legal,Alberta,835,Edmonton
4811804,Stony Plain 135,Alberta,835,Edmonton
4811805,Alexander 134,Alberta,835,Edmonton
4811806,Wabamun 133A,Alberta,835,Edmonton
4811807,Wabamun 133B,Alberta,835,Edmonton
4812002,Cold Lake,Alberta,845,Cold Lake
4815023,Canmore,Alberta,828,Canmore
4816037,Wood Buffalo,Alberta,860,Wood Buffalo
4816817,Janvier 194,Alberta,860,Wood Buffalo
4816821,Gregoire Lake 176,Alberta,860,Wood Buffalo
4816822,Gregoire Lake 176A,Alberta,860,Wood Buffalo
4816831,Chipewyan 201A,Alberta,860,Wood Buffalo
4816849,Old Fort 217,Alberta,860,Wood Buffalo
4816850,Allison Bay 219,Alberta,860,Wood Buffalo
4816852,Dog Head 218,Alberta,860,Wood Buffalo
4816855,Charles Lake 225,Alberta,860,Wood Buffalo
4816856,Fort McKay 174,Alberta,860,Wood Buffalo
4816857,Namur River 174A,Alberta,860,Wood Buffalo
4816858,Namur Lake 174B,Alberta,860,Wood Buffalo
4816859,Fort Mackay,Alberta,860,Wood Buffalo
4816861,Thabacha Nare 196A,Alberta,860,Wood Buffalo
4819012,Grande Prairie,Alberta,850,Grande Prairie
